Cash_Leg,Cost_bps,Final_NAV,CAGR,MDD
현금0%,0,34260.88794958577,0.04919932510024361,-0.30843872327419575
3M T-Bill,0,42758.69304002111,0.05830528074429431,-0.299346589307968
현금0%,5,34243.299606347835,0.049178312784696976,-0.30847826013953394
3M T-Bill,5,42737.9419210194,0.05828524470852514,-0.29938403521375667
현금0%,10,34225.71981967434,0.04915730032485177,-0.30851779661861645
3M T-Bill,10,42717.20031937264,0.05826520851745465,-0.2994214811174497
