Date,WealthMultiple_Net,Drawdown_Net,SPY_WealthMultiple
2006-02-28,1.0016618582026684,-0.01238732062996184,1.012875645713062
2006-03-31,0.9909936486384995,-0.018614102707666724,1.0295920444991302
2006-04-30,0.9978727785716879,-0.019923476110200733,1.0425975788063941
2006-05-31,0.9861364706826369,-0.023582782674111957,1.0111940272309683
2006-06-30,0.9869974339344193,-0.042717759047010584,1.0138307656932628
2006-07-31,1.0032557746103554,-0.024583293384601523,1.018371425211376
2006-08-31,1.02049326330277,-0.014085882196469335,1.0405945738162148
2006-09-30,1.0313647414171423,-0.013029798428776274,1.0686925484317706
2006-10-31,1.0474793079266729,-0.011410249422864727,1.1023738895841635
2006-11-30,1.075900422365717,-0.006918201943114655,1.124295047207483
2006-12-31,1.0637659544212315,-0.014209920399957388,1.139328160022748
2007-01-31,1.0637305691058314,-0.026165359181819392,1.156463976100499
2007-02-28,1.0809839199835571,-0.012834439636304595,1.133777002346771
2007-03-31,1.0767196584966632,-0.01798126864362648,1.1469166378512916
2007-04-30,1.0981485873415147,-0.010507876451801401,1.197720191884069
2007-05-31,1.0951747642886893,-0.015837297552508955,1.2383465357483248
2007-06-30,1.0841187859673802,-0.038362475083261516,1.2202407678171165
2007-07-31,1.0943441885878784,-0.021284661958461792,1.1820351787460133
2007-08-31,1.1091972522840332,-0.02660206471629656,1.1972043235349357
2007-09-30,1.1403826731893116,-0.010348955391617842,1.2435530498368494
2007-10-31,1.1693853292964138,-0.00517721343507227,1.2604238229723776
2007-11-30,1.1840203951986805,-0.015696051614171647,1.2116047560288492
2007-12-31,1.1907263637267542,-0.01941329003355008,1.1979608368335968
2008-01-31,1.1978776007577856,-0.01942205330631397,1.1255307441036722
2008-02-29,1.2042740049669203,-0.023403506300787802,1.0964440364460373
2008-03-31,1.2070573374841507,-0.013017512804456621,1.0866394661227727
2008-04-30,1.207973428770941,-0.015954976230911355,1.1384314899099381
2008-05-31,1.2051425315609139,-0.024399190793220726,1.1556404999657728
2008-06-30,1.206241833170262,-0.030599571029879757,1.0590567455184048
2008-07-31,1.1893427363718634,-0.04234133801694595,1.0495404752167294
2008-08-31,1.1939466689449842,-0.041650339975038086,1.0657595235545945
2008-09-30,1.1632623271810654,-0.05337069698006269,0.9653928515636657
2008-10-31,1.0657568753410755,-0.14196334493900986,0.8059233587084159
2008-11-30,1.1340210379499391,-0.1438085835461984,0.7498255280234641
2008-12-31,1.2274293687189246,-0.07954821291725145,0.7571709913132615
2009-01-31,1.1183383275064214,-0.09596675222831819,0.6949965246024794
2009-02-28,1.0720784787713933,-0.13336191276672327,0.620319929649529
2009-03-31,1.1206399123482351,-0.14603622723924115,0.6719991346611224
2009-04-30,1.11269064802764,-0.10242860868427539,0.7387596341354247
2009-05-31,1.1369047470669784,-0.11019494092580295,0.7819425014787992
2009-06-30,1.1308375182616959,-0.1042565298801863,0.7814306702075935
2009-07-31,1.165921619501938,-0.10143735142743604,0.8397295859888821
2009-08-31,1.1869635035100694,-0.06606367568939497,0.8707488252980855
2009-09-30,1.2190990226122107,-0.04891443406514062,0.9016235196649577
2009-10-31,1.2099381343891336,-0.025773660395018938,0.8842891846682313
2009-11-30,1.262343381960059,-0.023187355297498713,0.9387674450035894
2009-12-31,1.2273292375750993,-0.030698847340969837,0.9566990042459529
2010-01-31,1.225700406066049,-0.03160428106420443,0.9219302849299391
2010-02-28,1.2419849817045134,-0.04056486805050352,0.9506895504625965
2010-03-31,1.250837660656155,-0.019972994222982043,1.0085674692260571
2010-04-30,1.2852710286975901,-0.012548778155660356,1.0241698100291547
2010-05-31,1.2798857184932875,-0.011493465682397508,0.9427945179992243
2010-06-30,1.2995159123799755,-0.013503474983874275,0.8940137155334472
2010-07-31,1.3189242740523153,-0.012797448320622018,0.9550756601061224
2010-08-31,1.3599463047524776,-0.009542156529268486,0.912115797436982
2010-09-30,1.3876783258342467,-0.011850877647994862,0.9937999259283963
2010-10-31,1.3833687421380627,-0.023307355670354246,1.031765396625354
2010-11-30,1.373773481455142,-0.0390327275702973,1.031765396625354
2010-12-31,1.3840833753382134,-0.04193496302284749,1.1007408915623316
2011-01-31,1.3735951808987943,-0.027266537593649942,1.1263886231633489
