Date,NAV_Gross,NAV_Net,Drawdown_Net,Turnover,Cost
2006-02-06,10000.0,10000.0,0.0,0.0,0.0
2006-02-07,9903.031289164453,9903.031289164453,-0.009696871083554659,0.0,0.0
2006-02-08,9919.848671889114,9919.848671889114,-0.008015132811088566,0.0,0.0
2006-02-09,9959.007360637344,9959.007360637344,-0.004099263936265585,0.0,0.0
2006-02-10,9906.44315330643,9906.44315330643,-0.009355684669356878,0.0,0.0
2006-02-13,9876.123640806807,9876.123640806807,-0.01238763591931924,0.0,0.0
2006-02-14,9895.943390927076,9895.943390927076,-0.010405660907292447,0.0,0.0
2006-02-15,9899.103632540655,9899.103632540655,-0.01008963674593455,0.0,0.0
2006-02-16,9940.421522473132,9940.421522473132,-0.005957847752686707,0.0,0.0
2006-02-17,9984.567717378794,9984.567717378794,-0.0015432282621206106,0.0,0.0
2006-02-21,9982.47772247892,9982.47772247892,-0.0017522277521080376,0.0,0.0
2006-02-22,10024.946001652539,10024.946001652539,0.0,0.0,0.0
2006-02-23,9994.981497036588,9994.981497036588,-0.0029889941163784295,0.0,0.0
2006-02-24,10027.283058832189,10027.283058832189,0.0,0.0,0.0
2006-02-27,9999.168771205132,9999.168771205132,-0.0028037791954315106,0.0,0.0
2006-02-28,10016.613455556491,10016.613455556491,-0.001064057253903794,0.0,0.0
2006-03-01,10015.265654002618,10015.265654002618,-0.0011984706883272356,0.0,0.0
2006-03-02,10002.738283381725,10002.738283381725,-0.0024477992000878634,0.0,0.0
2006-03-03,9962.698626481239,9962.698626481239,-0.006440870570025736,0.0,0.0
2006-03-06,9883.942706103535,9883.942706103535,-0.01429503404737309,0.0,0.0
2006-03-07,9866.163594189546,9866.163594189546,-0.016068107751354033,0.0,0.0
2006-03-08,9847.539980269285,9847.539980269285,-0.017925401876890623,0.0,0.0
2006-03-09,9840.631770160237,9840.631770160237,-0.018614343245007547,0.0,0.0
2006-03-10,9843.329128023637,9843.329128023637,-0.018345341378043778,0.0,0.0
2006-03-13,9860.307528372688,9860.307528372688,-0.016652120966349493,0.0,0.0
2006-03-14,9944.78145544442,9944.78145544442,-0.008227712622024819,0.0,0.0
2006-03-15,9929.890097061105,9929.890097061105,-0.00971279669673819,0.0,0.0
2006-03-16,9990.107997197534,9990.107997197534,-0.0037073912660628983,0.0,0.0
2006-03-17,9971.3910245728,9971.3910245728,-0.005573995860240322,0.0,0.0
2006-03-20,9961.256873166833,9961.256873166833,-0.006584653617332514,0.0,0.0
2006-03-21,9913.27790987676,9913.27790987676,-0.011369495434260246,0.0,0.0
2006-03-22,9939.965557857711,9939.965557857711,-0.008707992031557032,0.0,0.0
2006-03-23,9928.812576996952,9928.812576996952,-0.009820255522606569,0.0,0.0
2006-03-24,9978.192234733504,9978.192234733504,-0.004895725373529225,0.0,0.0
2006-03-27,9969.184055394606,9969.184055394606,-0.005794092287681907,0.0,0.0
2006-03-28,9911.226115669793,9911.226115669793,-0.011574116585865268,0.0,0.0
2006-03-29,9928.84003264605,9928.84003264605,-0.009817517428056255,0.0,0.0
2006-03-30,9921.330138910971,9921.330138910971,-0.010566463447732488,0.0,0.0
2006-03-31,9909.93095880358,9909.93095880358,-0.011703279875523553,0.0,0.0
