signal_date,execution_date,top_n,buy_turnover,sell_turnover,two_way_turnover,sell_tax_bps,common_cost_bps,cost_fraction,untradable_count,untradable_codes,delist_mode,cost_scenario,variant
2017-04-28,2017-05-02,30,0.5987566842666886,0.5987566842666886,1.1975133685333772,30.0,21.5,0.0043709237951468265,0,,last_close,base,Top30_base
2017-10-31,2017-11-01,30,0.8999999999999999,0.8999999999999999,1.7999999999999998,30.0,21.5,0.0065699999999999995,0,,last_close,base,Top30_base
2018-04-30,2018-05-02,30,0.9115346097794665,0.9115346097794667,1.823069219558933,30.0,21.5,0.0066542026513901065,0,,last_close,base,Top30_base
2018-10-31,2018-11-01,30,0.8074569666565484,0.8074569666565488,1.614913933313097,30.0,21.5,0.005894435856592805,0,,last_close,base,Top30_base
2019-04-30,2019-05-02,30,0.8123121156932511,0.8123121156932511,1.6246242313865022,30.0,21.5,0.005929878444560733,0,,last_close,base,Top30_base
2019-10-31,2019-11-01,30,0.6805219408683997,0.7138552742017332,1.3943772150701328,25.0,21.5,0.004782549197905118,1,149940,last_close,base,Top30_base
2016-10-31,2016-11-01,50,0.9800000000000005,0.0,0.9800000000000005,30.0,21.5,0.0021070000000000012,1,005960,last_close,base,Top50_base
2017-04-28,2017-05-02,50,0.7036783038019786,0.6845643074872246,1.3882426112892032,30.0,21.5,0.005038414536733461,0,,last_close,base,Top50_base
2017-10-31,2017-11-01,50,0.8295325918062771,0.8295325918062768,1.659065183612554,30.0,21.5,0.006055587920185822,0,,last_close,base,Top50_base
2018-04-30,2018-05-02,50,0.8208321573079311,0.8208321573079306,1.6416643146158618,30.0,21.5,0.005992074748347895,0,,last_close,base,Top50_base
2018-10-31,2018-11-01,50,0.7880797203902914,0.7880797203902906,1.576159440780582,30.0,21.5,0.005752981958849123,0,,last_close,base,Top50_base
2019-04-30,2019-05-02,50,0.7068418235909512,0.7268418235909507,1.4336836471819019,30.0,21.5,0.005262945312213941,1,030270,last_close,base,Top50_base
2019-10-31,2019-11-01,50,0.6789349959146003,0.6968496246740497,1.37578462058865,25.0,21.5,0.004700060995950721,2,149940|194510,last_close,base,Top50_base
2016-10-31,2016-11-01,20,1.0000000000000002,0.0,1.0000000000000002,30.0,21.5,0.0021500000000000004,0,,minus100,base,Top20_base_delist_minus100
2017-04-28,2017-05-02,20,0.5383704515290361,0.538370451529036,1.076740903058072,30.0,21.5,0.003930104296161962,0,,minus100,base,Top20_base_delist_minus100
2017-10-31,2017-11-01,20,0.9000000000000002,0.9,1.8000000000000003,30.0,21.5,0.006570000000000001,0,,minus100,base,Top20_base_delist_minus100
2018-04-30,2018-05-02,20,0.8705781211539613,0.8705781211539612,1.7411562423079223,30.0,21.5,0.006355220284423917,0,,minus100,base,Top20_base_delist_minus100
2018-10-31,2018-11-01,20,0.8050828032565306,0.8050828032565304,1.610165606513061,30.0,21.5,0.005877104463772672,0,,minus100,base,Top20_base_delist_minus100
2019-04-30,2019-05-02,20,0.8582977959209099,0.8582977959209097,1.7165955918418196,30.0,21.5,0.006265573910222641,0,,minus100,base,Top20_base_delist_minus100
2019-10-31,2019-11-01,20,0.8563545910089854,0.9063545910089851,1.7627091820179706,25.0,21.5,0.0060557112188610995,1,149940,minus100,base,Top20_base_delist_minus100
