Date,Top20_Base,Top30_Base,Top50_Base,Top20_Base_DelistMinus100
2016-11-01,0.99785,0.99785,0.997893,0.99785
2016-11-02,0.96439707875,0.9662680475000001,0.971604506808,0.96439707875
2016-11-03,0.973526268701,0.9790869817415168,0.9823147566635521,0.973526268701
2016-11-04,0.9826129742950744,0.9869038782947017,0.9857476031064717,0.9826129742950744
2016-11-07,1.000564135635179,1.0050827966888873,0.9998543368022603,1.000564135635179
2016-11-08,1.0008701572739178,1.005368864051163,1.0010035312763426,1.0008701572739178
2016-11-09,0.9563967013306706,0.9644838646783515,0.9667495583736735,0.9563967013306706
2016-11-10,0.9885068306591985,1.0001732866655606,0.9951433164393335,0.9885068306591985
2016-11-11,1.0019508713123682,1.0165075420501817,1.0083098958201562,1.0019508713123682
2016-11-14,1.0106168231055899,1.0251972454701737,1.015995988852988,1.0106168231055899
2016-11-15,1.005166524789094,1.0237281001067615,1.014692377163658,1.005166524789094
2016-11-16,1.0149661541672668,1.0330818599233265,1.0245863139884352,1.0149661541672668
2016-11-17,1.0152234470682193,1.030769879819154,1.0257000456614043,1.0152234470682193
2016-11-18,1.0118953652170848,1.0250354416649783,1.0219653208866828,1.0118953652170848
2016-11-21,1.003950676080429,1.0160345407474352,1.0115361040962945,1.003950676080429
2016-11-22,1.0119047036356874,1.0227430347803317,1.0181067059746303,1.0119047036356874
2016-11-23,1.0000920386736591,1.0116112905660222,1.0083759879535488,1.0000920386736591
2016-11-24,0.9845181520739459,0.9986539369653171,0.9980375464918292,0.9845181520739459
2016-11-25,0.9859156219496514,1.001951074358271,1.0021299698723565,0.9859156219496514
2016-11-28,0.9759563254299108,0.9918907640921271,0.9923675367244009,0.9759563254299108
2016-11-29,0.9803368990053605,0.995346555976951,0.9980634531793896,0.9803368990053605
2016-11-30,0.980446245242013,0.9982850117313969,0.9976903285825567,0.980446245242013
2016-12-01,0.9849101433886562,1.0039357553242492,1.003182827349317,0.9849101433886562
2016-12-02,0.9835443620426505,0.9981841555882995,0.997662316962848,0.9835443620426505
2016-12-05,0.9669874084530085,0.98221953055227,0.9841119933778412,0.9669874084530085
2016-12-06,0.990860277892081,1.0073391922424053,1.0028697988853112,0.990860277892081
2016-12-07,0.9861707494769811,1.0040513418939248,1.001960926030651,0.9861707494769811
2016-12-08,1.0031428328272498,1.01870160445243,1.0162772720267312,1.0031428328272498
2016-12-09,1.008057796888639,1.0249560543181946,1.0195979585586121,1.008057796888639
2016-12-12,1.019563065675286,1.0393285856351213,1.0307088037801881,1.019563065675286
2016-12-13,1.017066799240383,1.0377633635937777,1.0298307391302455,1.017066799240383
2016-12-14,1.011489266370351,1.0299685864117412,1.0262027636977051,1.011489266370351
2016-12-15,1.0238227920085954,1.0432467674790527,1.037137746896949,1.0238227920085954
2016-12-16,1.0162096045713638,1.0359429450008646,1.033422126410805,1.0162096045713638
2016-12-19,1.0136473369166155,1.0343351962601601,1.0325430509780826,1.0136473369166155
2016-12-20,1.0113623857698446,1.0348983458836356,1.035417647346027,1.0113623857698446
2016-12-21,1.0137857406009383,1.0355433520107344,1.0368085520628036,1.0137857406009383
2016-12-22,1.0103357349173567,1.0309466471198327,1.0320109061354978,1.0103357349173567
2016-12-23,1.0101681540845022,1.0312245812967746,1.0333521887676174,1.0101681540845022
2016-12-26,1.000043176492823,1.0224702897764009,1.0251991056628162,1.000043176492823
2016-12-27,1.0042273029721307,1.0256099457148518,1.029389396950165,1.0042273029721307
2016-12-28,1.008039080555846,1.0259610971929938,1.0275315200720307,1.008039080555846
2016-12-29,1.0069229306825065,1.0231681496902523,1.026267969800097,1.0069229306825065
2017-01-02,1.0123212090326008,1.0275804735904575,1.0269757616031547,1.0123212090326008
2017-01-03,1.0350643689469634,1.0444767785173226,1.0399808856561246,1.0350643689469634
2017-01-04,1.050241399163908,1.057758322333811,1.0496320575123257,1.050241399163908
2017-01-05,1.05004682494291,1.0598136662292317,1.052102465081313,1.05004682494291
2017-01-06,1.0499809219411802,1.0607058555608257,1.0537689978695512,1.0499809219411802
2017-01-09,1.037283183337425,1.0518147645355314,1.0459491902614602,1.037283183337425
2017-01-10,1.0309752653644475,1.048308893524739,1.042736370873335,1.0309752653644475
2017-01-11,1.0434896566831597,1.059791495970499,1.0542661176103942,1.0434896566831597
2017-01-12,1.0542722518684744,1.067896147876136,1.0592387095464206,1.0542722518684744
2017-01-13,1.0526869831390968,1.0686490705850098,1.0554968730184118,1.0526869831390968
2017-01-16,1.034630987091391,1.0528424502832465,1.0435822879611183,1.034630987091391
2017-01-17,1.0344231108182345,1.0481492190234343,1.0419963641082417,1.0344231108182345
2017-01-18,1.039725008776619,1.0518231246995804,1.0447267480937574,1.039725008776619
2017-01-19,1.0311048857987808,1.0458670842098365,1.040656462467308,1.0311048857987808
2017-01-20,1.0199372026692732,1.038980533787475,1.0351275846463672,1.0199372026692732
2017-01-23,1.012882822453743,1.0332702991880238,1.0307823509940044,1.012882822453743
2017-01-24,1.0053254436489516,1.024790665614847,1.0222191509141845,1.0053254436489516
2017-01-25,0.9919373983098891,1.0132083588075314,1.0149397385804746,0.9919373983098891
2017-01-26,1.0062814857599207,1.0279002109780282,1.026643122479236,1.0062814857599207
2017-01-31,0.9975454781320283,1.0173503011223326,1.0203246683301055,0.9975454781320283
2017-02-01,1.0088886274687285,1.0315133659722209,1.0315425602133383,1.0088886274687285
2017-02-02,0.9928639969504527,1.0129454610982414,1.0175141739845845,0.9928639969504527
2017-02-03,0.988970895030413,1.0104572963807121,1.015984048574439,0.988970895030413
2017-02-06,0.9915730174636482,1.015967089453218,1.0224801797517085,0.9915730174636482
2017-02-07,0.9877889284532362,1.013137297926742,1.0208938619794516,0.9877889284532362
2017-02-08,0.9878592746688595,1.0129840949360618,1.0232519151454356,0.9878592746688595
2017-02-09,0.9923732720273001,1.0204715831984903,1.0285062788454675,0.9923732720273001
2017-02-10,0.9941112761744226,1.022998392563555,1.0302930358736597,0.9941112761744226
2017-02-13,1.0125509877337862,1.0396881308292527,1.042517889377828,1.0125509877337862
2017-02-14,1.0248832396476295,1.0488362112206802,1.0512614858132725,1.0248832396476295
2017-02-15,1.0343018455474202,1.0554134763078313,1.0555393686137644,1.0343018455474202
2017-02-16,1.032659564326171,1.0501224738071389,1.0526401426840464,1.032659564326171
2017-02-17,1.0349108047164832,1.050880444105348,1.0560902882203727,1.0349108047164832
2017-02-20,1.0392639618674926,1.0541609448689944,1.0551416124972217,1.0392639618674926
2017-02-21,1.0476442460065318,1.059604751531268,1.0578423121405804,1.0476442460065318
2017-02-22,1.044965036154232,1.0594586159261752,1.0559958513190062,1.044965036154232
2017-02-23,1.0354918626580845,1.0513039914003988,1.0493776655411584,1.0354918626580845
2017-02-24,1.0310601123057643,1.044819380792888,1.043837504452199,1.0310601123057643
2017-02-27,1.0347095260739945,1.0487247011357124,1.047104212538071,1.0347095260739945
2017-02-28,1.0350573226314808,1.0469857858081377,1.047320855758837,1.0350573226314808
