Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,available_date,equity,revenue_q,net_income_q,ocf_q,EY_1_PER,BY_1_PBR,CFY_1_PCR,SY_1_PSR,EY_1_PER_rank,BY_1_PBR_rank,CFY_1_PCR_rank,SY_1_PSR_rank,avg_rank,overall_rank,signal_date,target_weight,top_n
004560,현대비앤지스틸,KOSPI,173406326500.0,962490850.0,83143.0,11500.0,CFS,2016-08-16,337093449116.0,167749375107.0,13693344081.0,38512451699.0,0.3158672317759987,1.9439512728274075,0.8883747779294546,3.8695099191089777,53.0,151.0,41.0,177.0,105.5,16,2016-10-31,0.03333333333333333,30
053700,삼보모터스,KOSDAQ,89028014850.0,208746890.0,28478.0,7310.0,CFS,2016-08-16,203930616360.0,215909284272.0,3687811207.0,10152935432.0,0.16569216839052095,2.290634208834097,0.4561681151312339,9.700734522083977,176.0,98.0,155.0,30.0,114.75,17,2016-10-31,0.03333333333333333,30
012860,서연전자,KOSDAQ,84375000000.0,467143185.0,148252.0,3125.0,CFS,2016-08-16,179354185737.0,188104559437.0,2875935069.0,15789448554.0,0.13634062549333334,2.1256792383644445,0.7485368203377778,8.917549484420741,259.0,127.0,59.0,37.0,120.5,18,2016-10-31,0.03333333333333333,30
092230,KPX홀딩스,KOSPI,269109950200.0,60648700.0,952.0,63700.0,CFS,2016-08-16,917374787743.0,241018038164.0,11787592884.0,40144749633.0,0.17520857738986717,3.408921844254423,0.5967040550253129,3.582447070201271,157.0,29.0,94.0,203.0,120.75,19,2016-10-31,0.03333333333333333,30
012800,대창,KOSPI,84760664070.0,589512791.0,628500.0,930.0,CFS,2016-08-12,181411287708.0,225272409636.0,3518998341.0,9392209431.0,0.16606752104225225,2.140276857177294,0.4432343485767596,10.630988424062261,175.0,123.0,163.0,24.0,121.25,20,2016-10-31,0.03333333333333333,30
084010,대한제강,KOSPI,229461093540.0,457136120.0,49426.0,9310.0,CFS,2016-08-16,426744003752.0,261189661209.0,19884011274.0,27310476602.0,0.34662104964707297,1.8597662774478556,0.47608030068486007,4.553097122993864,48.0,169.0,143.0,133.0,123.25,21,2016-10-31,0.03333333333333333,30
034020,두산중공업,KOSPI,2781346307200.0,8915980200.0,337885.0,26200.0,CFS,2016-10-28,6936263903348.0,3598417352126.0,86854926372.0,494766789515.0,0.12491062496915378,2.4938512278720095,0.7115500694526387,5.175072723322327,284.0,69.0,68.0,99.0,130.0,22,2016-10-31,0.03333333333333333,30
013520,화승알앤에이,KOSPI,210469544600.0,347421550.0,10625.0,32600.0,CFS,2016-08-16,288397877413.0,417203758710.0,18572934941.0,33256184291.0,0.35298094983382217,1.3702594261849321,0.6320379388705153,7.929009577188965,45.0,350.0,84.0,47.0,131.5,23,2016-10-31,0.03333333333333333,30
013870,지엠비코리아,KOSPI,91260859800.0,169929575.0,35515.0,4785.0,CFS,2016-08-16,219776497640.0,126692103392.0,3158299953.0,11830381946.0,0.13842955062757364,2.4082229569351483,0.5185303742229261,5.552965583258728,249.0,83.0,128.0,86.0,136.5,24,2016-10-31,0.03333333333333333,30
013570,디와이,KOSPI,165024098910.0,396842420.0,63540.0,6270.0,CFS,2016-08-12,400017315725.0,182043511425.0,5497993745.0,30042342301.0,0.13326523292815476,2.4239933341078834,0.7281928518181903,4.412531566660018,268.0,81.0,61.0,144.0,138.5,25,2016-10-31,0.03333333333333333,30
003030,세아제강,KOSPI,418200000000.0,379477500.0,5416.0,69700.0,CFS,2016-08-16,1242433434847.0,435771322330.0,12238366985.0,87837494946.0,0.1170575512673362,2.9709073047513153,0.8401482060832137,4.168066210712578,320.0,44.0,49.0,153.0,141.5,26,2016-10-31,0.03333333333333333,30
027710,팜스토리,KOSDAQ,117060346075.0,739587695.0,549732.0,1325.0,CFS,2016-08-12,155575409615.0,222661910111.0,5474421118.0,45090720061.0,0.18706321317357338,1.3290188764291162,1.5407683839277424,7.608448721596691,138.0,369.0,10.0,49.0,141.5,27,2016-10-31,0.03333333333333333,30
014790,한라,KOSPI,167876733200.0,113182165.0,24578.0,4600.0,CFS,2016-08-16,345601788165.0,448470628812.0,4145663586.0,58116629860.0,0.09877875288557258,2.058664006484253,1.3847453128781755,10.685712552619531,395.0,136.0,15.0,22.0,142.0,28,2016-10-31,0.03333333333333333,30
