전략,CAGR,누적수익률,MDD,MDD_source,Sharpe,Sortino,Calmar,월간승률,연환산_표준편차,최대회복기간_개월,최대회복기간_일,최종배수,최종자산,start,end,template_version
Top20_Gross,0.0659448978642978,0.21101360642045974,-0.2801437083526356,daily,0.3896599839041773,0.6264531588315813,0.23539667641326628,0.5555555555555556,0.2293243195460117,16.8,511,1.2110136064204597,12110136.064204598,2016-11-01,2019-10-31,v2-16
Top20_Minimum,0.061234901783435935,0.1950419799354146,-0.280143708352636,daily,0.3707247137817792,0.5923858401802936,0.21858389090200583,0.5555555555555556,0.22870639170011844,16.8,511,1.1950419799354146,11950419.799354145,2016-11-01,2019-10-31,v2-16
Top20_Base,0.05489618594468437,0.17376981414643744,-0.28014370835263636,daily,0.3448243327961001,0.5468909309705852,0.1959572330483422,0.5555555555555556,0.2280886938753914,16.8,511,1.1737698141464374,11737698.141464375,2016-11-01,2019-10-31,v2-16
Top20_Conservative,0.045264467858035395,0.14193206303204775,-0.2801437083526356,daily,0.3048643627734592,0.4781579158868448,0.16157588590587937,0.5277777777777778,0.22728877418402918,16.8,511,1.1419320630320478,11419320.630320478,2016-11-01,2019-10-31,v2-16
KOSPI,0.012352404079915003,0.037491472420438265,-0.26498446995793223,daily,0.15713530481021726,0.2097352722792037,0.04661557744073083,0.5833333333333334,0.14363262818601255,21.0,640,1.0374914724204383,10374914.724204382,2016-11-01,2019-10-31,v2-16
