유형,리밸런싱,거래비용,시작,종료,초기자산_원,최종자산_원,누적수익률,CAGR,연환산변동성,MDD,최대손실회복기간_개월,Sharpe_현금초과,Sortino,Calmar,월간승률,최악연도,최악연도수익률,최고연도,최고연도수익률,평균리밸런싱회전율
성장형,연1회(매년1월),0bp,2000-01-31,2026-08-31,10000000.0,114313900.48699439,10.431390048699438,0.09566733464412813,0.0870598350633607,-0.1393248751532833,23,0.7314047914575527,1.173533486104476,0.6866493477125047,0.65,2022,-0.13932487515328318,2007,0.2558284626923566,0.1244985237621899
성장형,연1회(매년1월),10bp/매매금액,2000-01-31,2026-08-31,10000000.0,113930253.52257791,10.39302535225779,0.09552921828685501,0.08704821450502714,-0.13944621337344276,23,0.730027076775506,1.1702826450996913,0.6850614009218292,0.646875,2022,-0.13944621337344276,2007,0.2556249582490495,0.1244985237621899
성장형,매월,0bp,2000-01-31,2026-08-31,10000000.0,101007664.54979523,9.100766454979523,0.09059446033881002,0.08447382110923303,-0.1372596990748398,23,0.6951712079225948,1.0941173149758459,0.6600222858525581,0.66875,2022,-0.13725969907484004,2024,0.2459040306120115,0.03312981706249117
중립형,연1회(매년1월),0bp,2000-01-31,2026-08-31,10000000.0,90365409.73548995,8.036540973548995,0.08605065867768436,0.07334857585657284,-0.11448392397986851,23,0.7325815755878282,1.179982205392065,0.7516396685775374,0.659375,2022,-0.11448392397986862,2007,0.22188696985779788,0.11574812402215949
중립형,연1회(매년1월),10bp/매매금액,2000-01-31,2026-08-31,10000000.0,90083420.42392491,8.00834204239249,0.08592337731200494,0.07333829754797166,-0.11459920476814844,23,0.7310585257934643,1.1772215931979881,0.7497728931526266,0.659375,2022,-0.11459920476814844,2007,0.2217117442839298,0.11574812402215949
중립형,매월,0bp,2000-01-31,2026-08-31,10000000.0,80819114.68037854,7.081911468037854,0.08151308520534406,0.07092105518989571,-0.11405904630697661,23,0.6949087547439904,1.1031875839256553,0.7146569066162548,0.66875,2022,-0.11405904630697683,2024,0.20955622048070088,0.030335920330542027
안정형,연1회(매년1월),0bp,2000-01-31,2026-08-31,10000000.0,65755125.52584721,5.575512552584721,0.0731794809318016,0.05530143877182822,-0.08013591803222753,23,0.734515988820099,1.1861301811487748,0.9131920208659952,0.678125,2022,-0.08013591803222775,2007,0.1791154890798481,0.10053720331692707
안정형,연1회(매년1월),10bp/매매금액,2000-01-31,2026-08-31,10000000.0,65576864.12592161,5.557686412592161,0.07307023668515211,0.05529338393483789,-0.08023821576901091,23,0.732752957039427,1.1830059435958897,0.9106662702409296,0.678125,2022,-0.08023821576901091,2007,0.17897389119087226,0.10053720331692712
안정형,매월,0bp,2000-01-31,2026-08-31,10000000.0,59992743.68477828,4.9992743684778285,0.06949486115516823,0.05322664085880799,-0.08110991881787444,23,0.6948708167743339,1.1118135858039229,0.856798553962471,0.675,2022,-0.08110991881787433,2024,0.16407045990068014,0.02541317326405427
