,미국주식,한국주식,중국주식,인도주식,금,미국30년국채,한국30년국채,현금성자산
2000-01-31,-0.0598246106759136,-0.08414091741207097,0.11161622618365685,0.02556345002779925,-0.03425531656779601,-0.023203985848793574,0.0,0.00588661541152069
2000-02-29,-0.008821645005379408,-0.13360768741574058,0.12413334285783062,0.05333192120121155,0.04327486769429423,0.04790899321227737,0.0,0.005595146732454648
2000-03-31,0.07188971130472543,0.04710672382094172,0.02598594145835076,-0.10285341687365968,-0.07905277145387979,3.896999644981136e-05,0.0,0.005862711245061547
2000-04-30,-0.03119352320865154,-0.15569749037197655,0.02405460323861064,-0.06600747654038297,-0.0020971761051848947,0.032283742066570476,0.0,0.005572763027456018
2000-05-31,0.002012377907267604,0.016774463267781536,0.05063103893402787,-0.05154789358070966,0.007654627905491429,-0.01839998501862472,0.0,0.0058069110252947365
2000-06-30,0.006281760550869153,0.126051355517371,0.004226193085457908,0.05582623278652865,0.04449311294765823,0.022354679602008876,0.0,0.005680766337545773
2000-07-31,-0.014157798706599944,-0.14440296645586903,0.05101572239099439,-0.10632587806777416,-0.03805551775049898,0.015923371308472545,0.0,0.005894582106107382
2000-08-31,0.05761508698205797,-0.03144932967634717,-0.00832833549125822,0.021578201189252688,-0.006355424822043099,0.018496061323819424,0.0,0.005878648036565348
2000-09-30,-0.04932159900402355,-0.11751788839096922,-0.049534309309560376,-0.08425678436200945,-0.006302566016013644,0.0028295445892470017,0.0,0.0056036343450471815
2000-10-31,0.01647247532362539,-0.1619746274938514,0.04887527892269894,-0.09005997981478964,-0.01289751377485926,0.032315187363104236,0.0,0.00579893683995758
2000-11-30,-0.01128424067036038,-0.008125007152557373,0.1280131385282719,0.15184263194708092,0.08706340420658853,0.08128044663263068,0.0515821341419227,0.0056036343450471815
2000-12-31,0.035643459758856855,-0.002047905939708383,0.04256241780615855,0.037003078457035654,0.06178252655691807,0.08839920133760915,0.08984676317008522,0.005751077407790017
2001-01-31,0.03703943043837543,0.2309393091586096,-0.010956154177925614,0.0887542665948935,-0.043100191917162745,-0.0036174761507528075,0.07448486703964763,0.005671257079212122
2001-02-28,-0.09768799834719977,-0.07489104534343283,-0.05395836573139834,-0.024064957782427343,0.00575270255243554,0.005719761181771865,0.03734277708773415,0.004788761332940927
2001-03-31,0.002038529471603212,-0.09675624877452715,0.14482754891175365,-0.10410516710050488,0.02570180002603273,0.08312259289400714,-0.06824529898216658,0.0047403131687078215
2001-04-30,0.07484671660081466,0.11187834371427385,-0.006719831480307081,-0.033791157673304206,0.011182457195262785,-0.03901688406902515,-0.07997713294534392,0.004548020121899032
2001-05-31,-0.03350023151766912,0.050241539585554884,0.015602066755266764,0.000527524117419631,-0.011984764395092551,-0.039198645789896736,0.025292908968499228,0.004828992419162681
2001-06-30,-0.007838957051984008,-0.037981331695889464,0.01814895594329946,-0.034477864585223506,0.028159272165279248,0.033314294855881554,0.06043000300270185,0.004680651523681467
2001-07-31,-0.010195288336933839,-0.08497259358776466,-0.1342546262683948,-0.03872126469381132,-0.017368810051737182,0.013106167127913793,0.04528557755680218,0.004675766122307579
2001-08-31,-0.07304930268238163,0.006569047326961286,-0.05879397574427081,-0.039338589730711804,0.011730675038394756,0.010175554976892265,0.07815001151439116,0.004409035889447965
2001-09-30,-0.06875600488438038,-0.12622365103315947,-0.024266576565383335,-0.13478932277374933,0.08867721063982748,0.024822710028344908,0.01880225851824524,0.003952674680911983
2001-10-31,0.008352755890660202,0.12782214587503393,-0.047301635672352016,0.05523639765004651,-0.05334207510058542,0.023051134180711808,-0.04059530590289828,0.003873273067189542
2001-11-30,0.058847399438848536,0.20454539191017806,0.016409563469597988,0.08159101855662287,-0.029199191717876327,-0.01217658685292744,-0.03747359551261509,0.003511460895728291
2001-12-31,0.03763293960729586,0.08671751277349227,-0.02833709827906883,0.017744638257472634,0.035559854752410525,-0.015889685033881773,-0.01046442703069872,0.0037673796761283906
2002-01-31,-0.009120182984890923,0.06921923144268449,-0.09311573567610232,0.009558090186872814,0.021676057026386975,0.013790934728452386,-0.005271321329827994,0.004019696144495377
2002-02-28,-0.010912603631570983,0.10355957741735278,0.02945700843892407,0.079141526639668,0.059061063488357046,0.021539811547266474,0.018389033725791037,0.003593286215243241
2002-03-31,0.03490986123886297,0.08984596905612219,0.053501408071152445,-0.025948820114371052,0.016938263714410873,-0.03098402178891435,-0.01501161576632426,0.0037755295991146465
2002-04-30,-0.08081604370763584,-0.04873030335030304,0.014800793964827808,-0.063839184218633,-0.0020405565940536663,-0.010102487307200758,-0.009760873945251825,0.0037323386999716934
