,성장형,중립형,안정형
2000-01-31,-0.01957754325440475,-0.015524894616050222,-0.010166104211336346
2000-02-29,0.018776100951372943,0.01668496054433466,0.013891127599330755
2000-03-31,-0.0020558786631345027,-0.0008068099881931579,0.0008010143501822053
2000-04-30,-0.01598891491610621,-0.01226554694408355,-0.007755849557040118
2000-05-31,-0.01839998501862472,-0.01839998501862472,-0.01839998501862472
2000-06-30,0.022354679602008876,0.022354679602008876,0.022354679602008876
2000-07-31,0.015923371308472545,0.015923371308472545,0.015923371308472545
2000-08-31,0.018496061323819424,0.018496061323819424,0.018496061323819424
2000-09-30,0.0028295445892470017,0.0028295445892470017,0.0028295445892470017
2000-10-31,0.032315187363104236,0.032315187363104236,0.032315187363104236
2000-11-30,0.05445323312987904,0.046791651611618246,0.036540596578104934
2000-12-31,0.052354194527745035,0.04552223715260184,0.0358836552139572
2001-01-31,0.033370686276035455,0.029197683391144702,0.02365523008225856
2001-02-28,-0.02694100778915054,-0.0220322928466975,-0.01580545090330887
2001-03-31,0.0009935034727475145,0.0017061374495948023,0.0023499520416949693
2001-04-30,0.004439241081484857,0.004050737642090185,0.004126444734877666
2001-05-31,-0.03919864578989685,-0.039198645789896625,-0.039198645789896736
2001-06-30,0.033314294855881554,0.033314294855881554,0.033314294855881554
2001-07-31,0.013106167127913793,0.013106167127913793,0.013106167127913793
2001-08-31,0.010175554976892265,0.010175554976892265,0.010175554976892265
2001-09-30,0.024822710028344908,0.024822710028344908,0.024822710028344908
2001-10-31,0.023051134180711808,0.023051134180711808,0.023051134180711808
2001-11-30,0.026003754867449658,0.022030868743372345,0.017386573551894546
2001-12-31,0.01977730108602893,0.017115250508897173,0.013814877496708622
2002-01-31,0.003675230854886413,0.003754009653354151,0.003824391055854637
2002-02-28,0.0333378975836347,0.028730725568341775,0.02259391857659243
2002-03-31,0.01739654283569836,0.015185515679455142,0.012392168257201464
2002-04-30,-0.03252606091275145,-0.02694588318783986,-0.01967722219770629
2002-05-31,-0.04871064015626092,-0.04871064015626081,-0.04871064015626081
2002-06-30,0.01185999453388975,0.01185999453388975,0.01185999453388975
2002-07-31,0.0028984181202982295,0.0028984181202982295,0.0028984181202982295
2002-08-31,0.07198896769725649,0.07198896769725649,0.07198896769725649
2002-09-30,0.06497027448993142,0.06497027448993142,0.06497027448993142
2002-10-31,-0.03984472366683034,-0.03984472366683034,-0.03984472366683045
2002-11-30,0.018743464190788428,0.016249637323716426,0.013199988298617349
2002-12-31,-0.00852545756849965,-0.0063166590082446294,-0.0036684417049867024
2003-01-31,3.7572799773233356e-05,0.0009011284690307875,0.0016586243368608145
2003-02-28,0.014483984365393665,0.01289382846927678,0.010568769095562702
2003-03-31,0.015060691155365902,0.013291473799530662,0.010915602181631678
2003-04-30,0.011185029205200925,0.010011972565269867,0.008437819055753915
2003-05-31,0.05838463970520724,0.05838463970520724,0.05838463970520724
2003-06-30,-0.029427505256573117,-0.029427505256573117,-0.029427505256573117
2003-07-31,-0.11109857620116537,-0.11109857620116548,-0.11109857620116537
2003-08-31,0.00790951808541207,0.00790951808541207,0.00790951808541207
