전략,유형,리밸런싱,거래비용,시작,종료,초기자산_원,최종자산_원,누적수익률,CAGR,연환산변동성,MDD,최대손실회복기간_개월,Sharpe_현금초과,Sortino,Calmar,월간승률,최악연도,최악연도수익률,최고연도,최고연도수익률,평균리밸런싱회전율,연간리밸런싱횟수,누적거래비용_원
기존 K-올웨더,성장형,연1회(1월),0bp,2000-01-31,2026-08-31,10000000.0,114313900.4869944,10.43139004869944,0.09598494243419364,0.08705983506336067,-0.1393248751532833,23,0.7314047914575601,1.1735334861044873,0.6889289678429092,0.65,2022,-0.13932487515328318,2007,0.2558284626923568,0.0,2,0.0
기존 K-올웨더,중립형,연1회(1월),0bp,2000-01-31,2026-08-31,10000000.0,90365409.73548996,8.036540973548997,0.08633509759836788,0.07334857585657288,-0.11448392397986862,23,0.7325815755878359,1.1799822053920788,0.7541242001239357,0.659375,2022,-0.11448392397986873,2007,0.22188696985779788,0.0,2,0.0
기존 K-올웨더,안정형,연1회(1월),0bp,2000-01-31,2026-08-31,10000000.0,65755125.52584721,5.575512552584721,0.07341995049549954,0.05530143877182822,-0.08013591803222753,23,0.73451598882011,1.1861301811487919,0.9161927921755749,0.678125,2022,-0.08013591803222775,2007,0.1791154890798481,0.0,2,0.0
계절형 K-올웨더 → 미국30년국채,성장형,연2회(11월초 K-올웨더 / 5월초 미국30년국채100%),0bp,2000-01-31,2026-08-31,10000000.0,98280083.33141142,8.828008333141142,0.08977169169631849,0.13370543500484602,-0.24273873374903943,45,0.471201973868386,0.8272137559143187,0.36982845839976597,0.615625,2022,-0.1649996212861934,2008,0.43887779343789757,1.7247118959254453,2,0.0
계절형 K-올웨더 → 미국30년국채,중립형,연2회(11월초 K-올웨더 / 5월초 미국30년국채100%),0bp,2000-01-31,2026-08-31,10000000.0,83995809.36480206,7.399580936480206,0.0833520564677468,0.12967647331054202,-0.241298374992019,47,0.4360032203668648,0.7399027060596224,0.3454314869319103,0.615625,2022,-0.1500984077801637,2008,0.4237044090121438,1.7633684986498446,2,0.0
계절형 K-올웨더 → 미국30년국채,안정형,연2회(11월초 K-올웨더 / 5월초 미국30년국채100%),0bp,2000-01-31,2026-08-31,10000000.0,68260663.89356385,5.826066389356385,0.07493110085706611,0.12527612753549572,-0.23935477611134526,48,0.384259509698996,0.6202856018924177,0.31305454637015045,0.628125,2022,-0.12977139843531726,2008,0.4001640540647493,1.8218439154151906,2,0.0
계절형 K-올웨더 → 미국30년국채,성장형,연2회(11월초 K-올웨더 / 5월초 미국30년국채100%),10bp/매매금액,2000-01-31,2026-08-31,10000000.0,89687619.47067055,7.968761947067055,0.08602746237615322,0.13370543500484602,-0.24666579534939626,45,0.47120197386838625,0.8272137559143192,0.3487612145587407,0.615625,2022,-0.1649996212861934,2008,0.438877793437898,1.7247118959254453,2,4217317.031079875
계절형 K-올웨더 → 미국30년국채,중립형,연2회(11월초 K-올웨더 / 5월초 미국30년국채100%),10bp/매매금액,2000-01-31,2026-08-31,10000000.0,76495037.90521564,6.649503790521564,0.07954653052755445,0.12967647331054205,-0.24531918025329413,48,0.43600322036686495,0.7399027060596222,0.32425728165821355,0.615625,2022,-0.1500984077801636,2008,0.423704409012144,1.7633684986498446,2,3931025.918733379
계절형 K-올웨더 → 미국30년국채,안정형,연2회(11월초 K-올웨더 / 5월초 미국30년국채100%),10bp/매매금액,2000-01-31,2026-08-31,10000000.0,61972322.55856549,5.197232255856549,0.07103005416950037,0.12527612753549575,-0.2435160924483557,49,0.3842595096989964,0.6202856018924188,0.2916852576573117,0.628125,2022,-0.12977139843531682,2008,0.40016405406474975,1.8218439154151909,2,3602040.4202275667
